min,max
-3.059243,3.266554
-1.786983,1.500325
0.0,5.041217
-3.010069,3.215184
-1.610255,1.382734
0.0,4.75479
-2.976571,3.157159
-1.485544,1.698038
0.0,4.561162
-2.996274,3.162279
-1.479984,1.833666
0.0,4.69877
-3.034289,3.155791
-1.522107,1.669997
0.0,4.728031
-3.079193,3.286586
-1.607449,1.588856
0.0,4.832685
-3.03124,3.349077
-1.59808,1.435648
0.0,4.901503
-3.091912,3.412148
-1.660093,1.765969
0.0,4.931317
-2.952877,3.240452
-1.564894,1.583579
0.0,4.869651
-3.034635,3.187943
-1.543432,1.703264
0.0,4.795676
-2.921589,3.432194
-1.703857,1.880051
0.0,4.867782
-2.90945,3.454941
-1.758582,1.945589
0.0,4.990701
-3.102286,3.122485
-1.807128,1.47867
0.0,4.991759
-3.092033,3.242627
-1.922451,1.259605
0.0,5.051301
-3.24509,3.432536
-2.181652,1.246107
0.0,5.111005
-3.203618,3.343585
-2.22402,1.220603
0.0,5.052865
-3.001311,3.37481
-1.767673,1.501785
0.0,5.02328
-3.080067,3.264325
-2.021587,1.664876
0.0,4.94829
-3.304829,3.389059
-2.480993,1.888282
0.0,5.134107
-3.210601,3.422513
-2.522991,1.820215
0.0,4.991271
-2.986334,3.172947
-1.496573,1.584437
0.0,4.599681
-3.066264,3.472843
-1.695106,1.843742
0.00954442,4.936501
-3.103018,3.448053
-1.630915,1.749364
0.07590294,4.901502
-2.924219,3.454106
-1.813882,2.004492
0.03912051,4.990575
-2.903439,3.441406
-1.762388,1.978506
0.01880693,4.971737
